featureName,featureClass,lat,lon,elevationFeet
Comanche Peak,Summit,40.548316,-105.6766702,12690
Skull Point,Summit,40.5135942,-105.6308353,12057
Ramsey Peak,Summit,40.5249829,-105.61389,11562
Stormy Peaks,Summit,40.5199829,-105.5869445,12113
Sugarloaf Mountain,Summit,40.5166497,-105.6172236,12142
South Signal Mountain,Summit,40.5185939,-105.5186082,11240
East White Pine Mountain,Summit,40.6047043,-105.4458259,10207
West White Pine Mountain,Summit,40.6052598,-105.4716603,10302
Boiler Hill,Summit,40.5294271,-105.3913803,8848
Turner Hill,Summit,40.5622046,-105.4244368,8258
Crystal Mountain,Summit,40.5391493,-105.432493,9938
Lookout Mountain,Summit,40.5344271,-105.4597165,10597
Hyatt Hill,Summit,40.516094,-105.3527677,7746
Buckhorn Mountain,Summit,40.6110932,-105.324154,8281
Deadman Hill,Summit,40.5660936,-105.3069317,6532
Fletcher Hill,Summit,40.5294272,-105.274153,6174
Parks Hill,Summit,40.5263717,-105.3602679,8012
Christ Mountain,Summit,40.575538,-105.2849862,7894
Bingham Hill,Summit,40.6230378,-105.1583141,5358
Arthurs Rock,Pillar,40.5683158,-105.1880381,6772
Horsetooth Mountain,Summit,40.5397049,-105.1969277,7208
Static Peak,Summit,40.4766497,-105.8916798,12575
Mount Richthofen,Summit,40.4694275,-105.8950133,12890
Tepee Mountain,Summit,40.4633164,-105.8986246,12306
Lead Mountain,Summit,40.4485944,-105.8972358,12474
Mount Cirrus,Summit,40.4344278,-105.9019582,12730
Howard Mountain,Summit,40.4269279,-105.8989025,12762
Mount Cumulus,Summit,40.4102614,-105.9022362,12733
Red Mountain,Summit,40.3991505,-105.8791797,11598
Mount Stratus,Summit,40.3899838,-105.9036252,12460
Mount Nimbus,Summit,40.3963727,-105.9041807,12644
Green Knoll,Summit,40.386095,-105.8969583,12251
Shipler Mountain,Summit,40.4266504,-105.8355667,11296
Jackstraw Mountain,Summit,40.3874841,-105.8122326,11693
Sheep Rock,Summit,40.4158172,-105.8136214,10909
Mount Dickinson,Summit,40.4874832,-105.5658328,11814
Mount Dunraven,Summit,40.48915,-105.6080568,12562
Mount Tileston,Summit,40.4474835,-105.6202798,11227
Dark Mountain,Summit,40.4322057,-105.5719446,10827
The Needles,Pillar,40.4155392,-105.5513883,10059
Castle Mountain,Summit,40.3897059,-105.5505551,8779
MacGregor Mountain,Summit,40.4135947,-105.5769449,10482
The Twin Owls,Pillar,40.4033169,-105.5177759,8625
Oldman Mountain,Summit,40.3788727,-105.5433327,8304
Sundance Mountain,Summit,40.4083173,-105.7105616,12447
Mount Chapin,Summit,40.4338727,-105.70195,12438
Marmot Point,Summit,40.4424839,-105.7366736,11890
Mount Chiquita,Summit,40.4438726,-105.6888938,13051
Ypsilon Mountain,Summit,40.456928,-105.6811157,13445
Fairchild Mountain,Summit,40.4683168,-105.6641704,13504
Desolation Peaks,Summit,40.4722058,-105.6936162,12674
Flatiron Mountain,Summit,40.4847057,-105.710839,12316
Hagues Peak,Summit,40.4847056,-105.6463918,13438
Rowe Mountain,Summit,40.49665,-105.6483363,13169
Storm Mountain,Summit,40.4855387,-105.3858251,9892
Triangle Mountain,Summit,40.4647054,-105.4516614,8399
Crosier Mountain,Summit,40.4322057,-105.4252717,9216
Eagle Rock,Pillar,40.4116502,-105.4677737,8445
Spruce Mountain,Summit,40.4883164,-105.3002657,7779
Palisade Mountain,Summit,40.4402613,-105.3111001,8225
Sheep Mountain,Summit,40.412206,-105.3108225,8458
Pole Hill,Summit,40.3766507,-105.3683253,8684
Milner Mountain,Summit,40.4974829,-105.1824831,6893
Pillar of Hercules,Pillar,40.4241504,-105.2302634,5590
Mariana Butte,Summit,40.3980392,-105.1402603,5256
Cherry Hill,Summit,40.3785947,-105.0933144,5052
Mineral Point,Summit,40.3602619,-105.9047365,11486
Bowen Mountain,Summit,40.3605397,-105.9333488,12542
Ruby Mountain,Summit,40.3549841,-105.9555719,12008
Cascade Mountain,Summit,40.3408176,-105.9597388,12290
Gravel Mountain,Summit,40.274985,-105.9950183,11673
Porphyry Peaks,Summit,40.2841516,-105.9464052,10695
Nakai Peak,Summit,40.3463733,-105.7755646,11916
Mount Ida,Summit,40.371651,-105.7791758,12844
Cracktop,Summit,40.3658176,-105.7666753,12762
Mount Julian,Summit,40.3710954,-105.7575082,12920
Mount Patterson,Summit,40.300818,-105.7875098,11424
Nisa Mountain,Summit,40.2885959,-105.7986215,10784
Green Mountain,Summit,40.2960959,-105.8225112,10249
Stones Peak,Summit,40.3544288,-105.7205624,12894
Hayden Spire,Pillar,40.3519288,-105.740841,12421
Arch Rocks,Pillar,0,0,
Gabletop Mountain,Summit,40.3324844,-105.7008395,11821
Joe Mills Mountain,Summit,40.3249844,-105.6797276,10820
Little Matterhorn,Summit,40.3272067,-105.6927836,11532
Notchtop Mountain,Summit,40.3185956,-105.6944504,11929
Glacier Knobs,Summit,40.2972067,-105.646393,9793
The Sharkstooth,Summit,40.280818,-105.674172,12411
Half Mountain,Summit,40.2899845,-105.6327814,11437
Arrowhead,Summit,40.268318,-105.6502822,12651
Sprague Mountain,Summit,40.3466511,-105.7363963,12697
Knobtop Mountain,Summit,40.3244289,-105.7019507,12336
Ptarmigan Point,Summit,40.3130402,-105.7019507,12270
Hallett Peak,Summit,40.3033179,-105.6861168,12598
Otis Peak,Summit,40.2922068,-105.6805611,12444
Powell Peak,Summit,40.2658181,-105.6647273,13149
McHenrys Peak,Summit,40.2627626,-105.6575047,13241
The Spearhead,Summit,40.2552626,-105.6380596,12533
Ptarmigan Mountain,Summit,40.2569294,-105.72973,12319
Teddys Teeth,Pillar,40.3347063,-105.5466665,9521
Eagle Cliff Mountain,Summit,40.3583173,-105.5755564,8858
Keyboard of the Winds,Pillar,40.2527625,-105.6238924,13215
Mount Lady Washington,Summit,40.2633179,-105.607225,13245
Battle Mountain,Summit,40.2780401,-105.5988912,12041
Twin Sisters Mountain,Summit,40.2855399,-105.517499,10909
Twin Sisters Peaks,Summit,40.2888732,-105.5183324,11332
The Crags,Pillar,40.3049842,-105.5272215,9678
